Seller,Vendor,NameTag,softwareTag,roleTag,stackTag,groupTag,projectTag,aws:cloudformation:stack-idTag,aws:cloudformation:stack-nameTag,aws:cloudformation:logical-idTag,aws:autoscaling:groupNameTag,Hosting TypeCategory,PortfolioAccountGroupValue,ClosingMonthAccountGroupValue,DescriptionAccountGroupValue,ProductAccountGroupValue,Product OwnerAccountGroupValue,AvailabilityZone,ClockSpeed,ContainerClusterName,ContainerNamespace,CurrencyCode,ItemDescription,LeaseType,Location,NormalizedInstanceType,OperatingSystem,Operation,ProductCode,ProductName,ProviderUnitOfMeasure,Region,SavingsPlanOfferingType,SavingsPlanPaymentOption,SavingsPlanPurchaseTerm,TaxType,NormalizedTransactionType,UsageFamily,UsageQuantityUnit,UsageType,VolumeType,AdjustedAmortizedCost,AdjustedCost,AmortizedCostAdjustment,BlendedCost,BlendedRate,Cost,CostAdjustment,CostGbMonths,GrossCost,NetUnblendedCost,NormalizationFactor,NormalizedAmortizedCost,NormalizedUsageAmount,NormalizedUsageQuantity,OnDemandUsageHours,PublicOnDemandCost,Rate,ReservationNetEffectiveCost,SavingsPlanNetEffectiveCost,UnBlendedCost,UnBlendedRate,UsageHours,UsageQuantity
Amazon,Amazon,,,,,,,,,,,PaaS,DotCom,,Dotcom APIs,API Tribe,,,,,,USD,$0.22 per GB-Month of storage used for DynamoDB PITR backup,On-Demand,EU (Ireland),,,StandardPitrBackupStorage,AmazonDynamoDB,Amazon DynamoDB,GB-Mo,eu-west-1,,,,,Usage,Storage,GbMonths,EU-TimedPITRStorage-ByteHrs,Amazon DynamoDB - Point-In-Time-Restore (PITR) Backup Storage,0.058860691,0.058860691,0,0.058860691,0.22,0.058860691,0,0.267548598,0.058860691,0,0,0.058860691,0,0.267548598,0,0.058860691,0.22,0,0,0.058860691,0.22,0,0.267548598
Amazon,Amazon,,,,,,,,,,,IaaS,Food,,Quantum Development VMs,,Andrew Goslin,,,,,USD,USD0.0 per GB for  in Asia Pacific (Hong Kong),On-Demand,EU (Ireland),,,PutObject,AmazonS3,Amazon Simple Storage Service,GB,eu-west-1,,,,,Usage,IO,BytesTransferred,EU-APE1-AWS-In-Bytes,,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61E-05,0,0,0,0,0,0,0,0,1.61E-05
Amazon,Amazon,,,,,customerpromise,stocklocator,,,,,IaaS,Shared Services,,CI/CD Tools For All AWS Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,,,,,,,,,,,IaaS,Shared Services,,CI/CD Tools For All AWS Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,authserver1475065847522-1,,,,,,,,,,IaaS,DotCom,,Dotcom APIs,API Tribe,,,,,,USD,$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,On-Demand,EU (Ireland),,,PublicIP-In,AmazonEC2,Amazon Elastic Compute Cloud,GB,eu-west-1,,,,,Usage,Data Transfer,BytesTransferred,EU-DataTransfer-Regional-Bytes,,7.14E-05,7.14E-05,0,7.13E-05,0.009992654,7.14E-05,0,0,7.14E-05,0,0,7.14E-05,0,0.007138321,0,7.14E-05,0.01,0,0,7.14E-05,0.01,0,0.007138321
Amazon,Amazon,,,,,,,,,,,IaaS,Customer & Loyalty,,Loyalty Services / Sparks,,,,,,,USD,$0.004 per 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,,,,,,,,,,,PaaS,Food,,Quantum Development VMs,,Andrew Goslin,,,,,USD,$0.090 per GB - first 10 TB / month data transfer out beyond the global free tier,On-Demand,EU (Ireland),,,ListSubscriptions,AmazonSNS,Amazon Simple Notification Service,GB,eu-west-1,,,,,Usage,Data Transfer,BytesTransferred,EU-DataTransfer-Out-Bytes,,5.48E-07,5.48E-07,0,3.95E-07,0.06485865,5.48E-07,0,0,5.48E-07,0,0,5.48E-07,0,6.09E-06,0,5.48E-07,0.09,0,0,5.48E-07,0.09,0,6.09E-06
Amazon,Amazon,,,,,,,,,,,IaaS,DotCom,,Legacy product cache API,API Tribe,,,,,,USD,$0.005 per 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,,,,,,,,,,,IaaS,DotCom,,Dotcom APIs,API Tribe,,,,,,USD,$0.004 per 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,log-aggregation prod,,,,,,,,,,PaaS,DotCom,,Dotcom APIs,API Tribe,,,,,,USD,$0.02 per GB - EU (Ireland) data transfer to US West (Oregon),On-Demand,EU (Ireland),,,None,AmazonES,Amazon OpenSearch Service,GB,eu-west-1,,,,,Usage,Data Transfer,BytesTransferred,EU-USW2-AWS-Out-Bytes,,5.80E-06,5.80E-06,0,5.80E-06,0.02,5.80E-06,0,0,5.80E-06,0,0,5.80E-06,0,2.90E-04,0,5.80E-06,0.02,0,0,5.80E-06,0.02,0,2.90E-04
Amazon,Amazon,foods-service-jenkins-slave,,service-jenkins-slave,dev,foods,quantum,,,,,IaaS,Food,,Quantum Development VMs,,Andrew Goslin,,,,,USD,$0.11 per GB-month of General Purpose SSD (gp2) provisioned storage - EU (Ireland),On-Demand,EU (Ireland),,,CreateVolume-Gp2,AmazonEC2,Amazon Elastic Compute Cloud,GB-Mo,eu-west-1,,,,,Usage,Storage,GbMonths,EU-EBS:VolumeUsage.gp2,General Purpose,0.003882691,0.003882691,0,0.003882691,0.11,0.003882691,0,0.035297192,0.003882691,0,0,0.003882691,0,0.035297192,0,0.003882691,0.11,0,0,0.003882691,0.11,0,0.035297192
Amazon,Amazon,,,,,,,,,,,IaaS,Customer & Loyalty,,Loyalty Services / Sparks,,,,,,,USD,$0.004 per 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,,,,,,,,,,,PaaS,DotCom,,Dotcom APIs,API Tribe,,,,,,USD,$0.005 per In-use public IPv4 address per hour,On-Demand,US West (Oregon),,,RunInstances,AmazonVPC,Amazon Virtual Private Cloud,Hrs,us-west-2,,,,,Usage,Other,Unknown,USW2-PublicIPv4:InUseAddress,,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24
Amazon,Amazon,,,,,,,,,,,IaaS,Shared Services,,CI/CD Tools For All AWS Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
